@relation D__cs583_researchProj_data

@attribute text string
@attribute @@class@@ {mixed,negative,neutral,positive}

@data
'@DividendMaster $NUE not a China bet. Bet on US nonres and a place for materials investors to hide given 3\% div yld and variable cost ops',mixed
'$C with disappointing #earnings. But look how it played off its 8-day MA. #buying #Opportunity',mixed
'@alexhaighlfc $wAg',mixed
'@convolutedvol $CMG is shored up by DRUG $$$ - wouldn\'t do it UNLESS you want to see a horse\'s head next time you wake up ? ;)  JK',mixed
'\"Adding to $AAPL here so I can add again at 500, ruin my price and puke the first pullback then watch it go \"',mixed
'Yahoo Updates Email, Users Freak Out $yhoo',mixed
'$TYC Gainers and Laggards - Cliffs Natural Resources Inc (NYSE:CLF), United ...',mixed
'\"Call/Put Highest \% volume changes:  Calls: $STSI, $TIVO, $FRAN, $WHR, $EXPE.  Puts: $S, $CNDO, $DB, $WHR, $EXPE\"',mixed
'\"ok, I love you madly $AAPL but did you notice little $FDX is up 5.87, move it please \"',mixed
'$SWN Will These 3 Companies Rise as Coal Falls?',mixed
'$S Previous Session\'s Bulls and Bears: Sprint Corporation (NYSE:S), Savient ...',mixed
'\"RT @ReutersInsider: JPM\'s Dimon: \"\"We weren\'t completely stupid\"\" in agreeing to terms to buy Bear Stearns.$JPM up 1 pct in premarket',mixed
'$AAPL chart: Cup and Handle pattern is bullish for a move to the $560 level...',mixed
'$AAPL Ireland will shut Apple\'s tax “holy grail” – but leave loopholes wide open - GigaOM',mixed
'Les valeurs â€¡ suivre aujourd\'hui â€¡ Wall Street $SWY',mixed
'$V wants to catch up to $MA .. this could be a good play if you missed the $MA move, have a 201 target soon',mixed
'RT @ReformedBroker: You ain\'t even ready for this one - $JPM',mixed
'1/1495.00 should be support for $AAPL here as long as the market dosent have another dramatic swoon',mixed
'$SPN $TROW $CNDO $HST $FIG High option volume stocks: SPN TROW CNDO HST FIG',mixed
'should have had an easy 7\%+ this week on $AA - really thought was good risk/reward to upside but I\'m trading over cautious still',mixed
'$TGGI .0009! Bid huge!!! Amateur hour OVER! MUST READ >>>$TGGI huge update from PSG!!!  $TGGI $USA $KEY $CLNP $MYEC',mixed
'$BLK triple top, hell quad top, might run out of steam, earnings will effect +- 7.97',mixed
'Google Play App Revenue Grows Still Trails Apple App Store (AAPL, GOOG) $AAPL $FB $GOOG @benzinga',mixed
'Mall in #Miami lastnight Apple store packed. Microsoft about 10ppl $MSFT $AAPL',mixed
'RT @theflynews $BAC Bank of America reports September write-offs 3.31\% vs. 4.08\% last month: Full Story',mixed
'Netflix on your cable box? It may happen. $NFLX up 4\% on WSJ report of possible $CMCSA partnership. Buzz video.',mixed
'$DHI Rising Night-Time Temperatures: Boon or Bane of Pioneer Tropical Trees?',mixed
'@bellathornies no I mean Violetta I just gave her a nickname $wag',mixed
'$CNX CONSOL Energy Inc. (CNX): Consol\'s Q3 production exceeds guidance but net ...',mixed
'$PCLN is being lazy right now.. $GOOG needs to rip higher right now.. Bull flag breakout on intraday 15min candle.',mixed
'Barbie rebound helps Mattel report 16\% higher Q3 earnings. Hot Wheels sales down. Dividend declared. $MAT',mixed
'$YHOO Intel and Yahoo to Report; Teradata Tumbles; TiVo’s Poised for Bonanza?',mixed
'Browser wars: \"Switch to Chrome when $MSFT forgets about you, XP users\" -- $GOOG',mixed
'Nerd Day $wag ?#spiritweek #hhhs',mixed
'$CMG back to where it b.o. extreme o/b. $DPZ reports soon- with all restaurants missing can these 2 keep up going higher? seems unlikely',mixed
'\"RT @matthewherper: Tim Anderson, a $MRK bull since 2009, cut his rating. Says job cuts support idea that $MRK is \"\"underperforming versus it?\"',mixed
'$AAPL trying for a breakout from the top descending channel trendline?  If not for the swirling #hoedown uncertainty... #brokenrecord',mixed
'$PG I Won\'t Buy P&G, But Should You?',mixed
'Is your #optionstrading performance inconsistent -  Details on Live webinar $FB $CAT',mixed
'$EOG a monster',mixed
'$AAPL Bears are betting on a few dollars of oscillation. Bulls are expecting a fortune. Bought my calls.',mixed
'$YHOO down and up down and up Here comes $30',mixed
'RT @Retail_Guru: Contrast improving orders by Burberry customers with Walmart de-stocking drive. Yet more evidence this is a 1\% economy $WM…',mixed
'Is it Time for Markets to Eye the Political Squabble? #google',mixed
'$AMD looking for 4',mixed
'People really expected a break out on that earnings report? $jpm',mixed
'$NTRS SPECIAL OPERATIONS: Vietnam Versus Afghanistan',mixed
'$JCP IS like a radioactive dynamite sushi roll. On one hand u really want it but it could kill you.',mixed
'Sold a little $SOCL just to raise some cash.  Might buy $LO with the proceeds',mixed
'RT @CBOE: Options with increasing volume @ CBOE: $AAPL $FB $C $GOOG $FB $TSLA $AMRN $EXPE',mixed
'* $UMEWF moving up! ***$GRO $NNRX $MLGT $ERFB $CBYI $TDEY $PCWT $WTER $AZFL $CBYI $MJNA $AAMRQ $FNMA $AAPL $STCC $SEEK #pennystocks #NYSE',mixed
'Standoff continues as the world waits. $SPX consolidates. $NFLX cable rumors pushed stock up.',mixed
'$YHOO Yahoo, Facebook lead techs higher; Intel slips',mixed
'$GWW report was flat but already sold down, nice lolipop B-trade, goofed on $SWK  ->75 was the total reset low not 80, misd S got L off 76',mixed
'$VLO has cleared a lot of overhead.  Next trouble spot is 200 DMA at a little under $39, which would be a nifty gain from here.',mixed
'\"Google holds onto search lead, while Microsoft edges up slightly: ComScore $MSFT \"',mixed
'RT @InvestorWisdom: $ADEP just smashed through the $10 pivot. #Robotics play $IRBT $DDD $SSYS $XONE $PRLB $LOCK $FREE $MAKO $ISRG $SYK $AIXâ€¦',mixed
'$WFM expanding base consumers but losing the mission. Opens door for $NGVC  $SFM small pure players for true organic shoppers.',mixed
'Isabel is Long on $INTU at #NASDAQ. Our profit 2.48\%. Target price $72.69. More info on #stocks',mixed
'$AAPL hearing anecdotes of people who never spent $ on iTunes spending $15-20 in first few days with iRadio',mixed
'$MSFT back into 34\'s... above 34.14$ goes for 35\'s',mixed
'\"$gs underperforming, $sbux holding firm like a baby\'s forearm holding an apple.\"',mixed
'RT @cr_harper: Nice contrast -- JPMorgan\'s first loss under Dimon AND Wells Fargo reports record quarterly profit. $JPM $WFC @dakincampbell',mixed
'\"Union Pacific, Kansas City Southern On Different Earnings Track Than CSX $GWR \"',mixed
'@dan_bullock  is just getting too cool for me, cannot handle the $wag',mixed
'Why Apple is poaching #BlackBerry workers $AAPL',mixed
'Welcome to Thunderdome: #HP vs. #Microsoft $HP $msft',mixed
'$AAPL BOOM!',mixed
'A good #mattress cover is more than comfort bedroom.',mixed
'\"$NFLX Techs join market retreat, but Netflix rallies \"',mixed
'\"Once again $JNJ is fading after a solid beat, staying long tho from the November $fifties \"',mixed
'everyone pledges $x per foot and just have him eat as many as he can',mixed
'$SPLS Has Washington Kicked Consumer Confidence Into The Sewer?',mixed
'\"$AAPL stores: $5971 per square foot in 2012, +17\% from 2011; FY 2013 (ended 9/30/13) estimate dip to $5890 per Customer Growth Partners \"',mixed
'\"RT @ppearlman YTD, $COP has outperformed $XOM 25\% to 2\%. \"',mixed
'\"Apple, Intel trying to poach BlackBerry employees $INTC',mixed
'Why Goldman Sachs Is Wrong Regarding General Electric ? General Electric ... $GE',mixed
'\"$MRK Merck getting hit on downgrade.  I love Drugs though, get the Dividends and a Demographic tailwind\"',mixed
'RT @MrMarkette: @zerohedge @ThemisSal same thing going on in $CL this morning. #HFT running wild',mixed
'$WFM PepsiCo\'s Q3 Earnings Beat, Revs Miss',mixed
'The split between weak and strong stocks continues. Now some consolidating stocks are parting ways. $IBM $EBAY',mixed
'RT @reinman_mt: 4\' x8\' composite panel falls off Boeing 787 in mid flight. $BA +1.25\%. Must be a different Boeing, or something.',mixed
'J.C. Penney is indeed killing Johnson\'s JCP logo. While this adds costs, it could have been worse. New logo was put on few storefronts. $JCP',mixed
'@matthewwanderer $LMT news yesterday using $LQMT in a new anti-missile missile gave it a bump but not much of a catalyst IMHO. $0.18 resist.',mixed
'$AAPL short some 499.89  , tight stop here for a trade. looking for 497.50 or so if it can break down from lows',mixed
'$NTRS PNC Financial, Northern Trust Q3 Profit Up, US Bancorp Earnings Nearly Flat',mixed
'$MSFT _CEO  Ballmer sld $3.5 billion in stock since May 2003.',mixed
'$AAPL having trouble holding its 50dma 500.15, with all the pos fanboy headlines, AAPL trading soft.. no conviction. no pos',mixed
'\"$BLK reported Q3 #EPS of $3.88, missing estimates by $0.01 and growing 12\% yoy, revs of $2.47B also slightly missed by $12M #SPXearnings \"',mixed
'\"$YELP $MA Trolling for long book at a discount to current prices, in other words, let em come in, no rush here..\"',mixed
'\"RT @z8angela: $NFLX was upgraded yesterday & up big on huge vol, but may have a double-top formation. Today $TSLA is ripping, being upgrade?\"',mixed
'$PM Feel Free To Hate This Company But Love The Stock',mixed
'RT @LaMonicaBuzz: Look for leaders among this year\'s laggards. Could $XOM & $X be 2014 equivalent of $BBY & $HPQ? Buzz column in @MONEY htt…',mixed
'#Ireland to Close #Tax #Loopholes $AAPL $GOOG $LNKD',mixed
'@SquawkStreet A U.S. debt default would be like being forced to use a $BBRY phone over my $AAPL iPhone!',mixed
'$WFC Wells Fargo Hit Harder Than JPMorgan Amid Rising Rates',mixed
'@MarketWatch $AAPL QNX-based digital instrument clusters are changing the face of in-car computing. GO BLACKBERRY',mixed
'RT @vanquiship: if you are short $aapl just double cover and pretend you were long the whole time. I know most of you will.',mixed
'Wells Fargo Hit Harder Than JPMorgan Amid Rising Rates #citigroup',mixed
'Active puts @ CBOE; $AAPL Oct 480 & 490 $S Nov 6 $CNDO Feb 7.5 $KO May 33',mixed
'$STT FOCUS Q&A: Getting the council\'s job done',mixed
'RT @WaltBTIG: $VZ phone upgrade rate rose y/y for the first time since Q3 2010 and â€œwas impacted by inventory constraints.â€?',mixed
'If your short $CMG you must know nothing about Food With Integrity',mixed
'Citi down as its results fall short while Yahoo choppy ahead of earnings. $YHOO',mixed
'\"$CSCO Notable Movers - Rite Aid Corporation (NYSE:RAD), Intel Corporation (NASDAQ ... \"',mixed
'$AAPL Apple Inc. (AAPL) Beats Intel And Samsung In Processor Revenue',mixed
'$NKE support is 73/72.5 if does not hold that will go lower to fill gap',mixed
'Microsoft makes tons of cash. But I\'m still not buying the stock. 1 Reason why: $MSFT @themotleyfool',mixed
'Lesson: Be yourself Apple! “@SAI: The iPhone 5S Is Selling Very Well! The iPhone 5C Might Be A Dud! $AAPL by @jyarow',mixed
'$AMZN this run-up incredible gift to short. JMHO.  Still think it will follow $AAPL (last year)  and implode. JMHO',mixed
'Closed $HON @ 85.43 ­­ #Stocks ­­',mixed
'\"?@ivanhoff: Einhorn and Gundlach spotted at Taco Bell, crying over their $CMG short? - Gundlach never got short-Chickened out @LaMonicaBuzz \"',mixed
'$PEP Will a Recent Earnings Release Boost Coca-Cola?',mixed
'Stumpf: \"While refinance volume is down, the improvement in housing is really good for America ...and ultimately good for our company.\" $WFC',mixed
'I\'d be a buyer of $MS If $GS earnings leads to weakness.  $GS reports 17th and $MS the 18th',mixed
'@SAI: Good News! The iPhone 5S Is Selling Very Well! Bad News! The iPhone 5C Might Be A Dud! $AAPL by @jyarow',mixed
'$EBAY Which Stocks Look Ready to Pop or Drop After Earnings Next Week?',mixed
'Why Citi?s disappointment is a good thing: $C',mixed
'@Ski_tony_ski if you happen to have a few $k laying around. You\'re #notalawyer and #notadoctor. Save the cash for travel and race entries.',mixed
'RT @CBJbanknews: Updates on #BofA $BAC results. 9K jobs cut. 85 branches closed. But analyst @edwardjones says shares should gain',mixed
'\"@FTInvestment: $BAC  Morning Market Look: Bank of America Beats $TWYT\"',mixed
'Active calls @ CBOE; $AAPL Oct 495 500 505 & 510 $KO Jan 41.25',mixed
'Huge move in $CLF Too bad Im down still -0.71\% lol',mixed
